city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Durban,South Africa,UMC,2739000,1421541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,7.1,6.9,6.8,19.3,17.4,NA,NA,NA,NA,NA,NA,NA,NA
NdolaÂ ,Zambia,LMC,453000,85979.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,16.66,5,8.33,NA,NA,30,NA,NA,NA,NA,NA
Lusaka,Zambia,LMC,1719000,530000,NA,NA,NA,26,NA,NA,NA,NA,6,NA,68,NA,40,2,2,40,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Kadoma City,Zimbabwe,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3,3,22,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Mbare,Zimbabwe,LIC,NA,NA,NA,NA,10,51,NA,NA,24,15,NA,NA,NA,NA,28,2,12,25,6,11,NA,NA,16,NA,NA,NA,NA,NA
Norton,Zimbabwe,LIC,58421,14021.039999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3,2.7,4.9,16.2,4.8,9.1,NA,NA,NA,NA,NA,NA,NA,NA
Chinhoyi,Zimbabwe,LIC,98000,25480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,3.5,5.4,14.7,5,8.6,NA,NA,NA,NA,NA,NA,NA,NA
HarareÂ ,Zimbabwe,LIC,1379000,352334.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.61,6.45,NA,32.74,19.69,18.1,NA,NA,NA,NA,NA,NA,NA,NA
Gweru,Zimbabwe,LIC,157865,37887.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,3,3.8,13.9,6.7,10.2,NA,NA,NA,NA,NA,NA,NA,NA
Kariba,Zimbabwe,LIC,26512,7423.3600000000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,2,3,25,7,11,NA,NA,NA,NA,NA,NA,NA,NA
Masvingo City,Zimbabwe,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,5,6,30,40,NA,NA,NA,NA,NA,NA,NA,NA
SakubvaÂ ,Zimbabwe,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,6,7,27,23,NA,NA,NA,NA,NA,NA,NA,NA
