city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
GwaliorÂ ,India,LMC,1069276,138754.75,NA,NA,39.5,NA,NA,NA,60,NA,NA,NA,0.5,NA,57.4,0.83,0.26,17.34,12.89,11.25,NA,NA,NA,12.5,NA,NA,NA,NA
Bhubaneswar,India,LMC,837737,189800,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mysore,India,LMC,1058210,146730,NA,NA,50,31,NA,NA,NA,NA,22,NA,17,NA,55,9,NA,10,10,13,3,NA,NA,3.5,NA,270830,NA,NA
Warangal,India,LMC,615998,109500,NA,2,3.66,NA,NA,NA,93,NA,1.66,NA,NA,NA,51.14,NA,NA,15.53,19.59,13.74,NA,NA,NA,18.8,NA,1011936,NA,NA
Dublin,Ireland,HIC,527612,142889,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,51,NA,27,16,2,10,37,8,NA,NA,NA,NA,NA,NA,NA,NA
Tehran,"Iran, Islamic Rep.",UMC,8432000,2868170,NA,1.9,50,NA,2.5,NA,41.5,NA,4,NA,0.1,NA,69.3,1.9,1.5,9.9,9.6,7,0.4,0.4,NA,39,NA,1952665,NA,NA
Baghdad,Iraq,UMC,7000000,3285000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerusalem,Israel,HIC,778000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tel Aviv,Israel,HIC,3311000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,89.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parma,Italy,HIC,192836,97142.43999999999,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,28,NA,22.98,0.4,10.01,17.43,14.38,26.4,3.32,5.08,NA,NA,NA,NA,NA,NA
Milano,Italy,HIC,1236837,668158,NA,NA,NA,NA,44.6,NA,NA,6.8,49.9,NA,NA,NA,37.4,1.4,1.5,14.4,26.2,12.6,NA,6.5,NA,NA,NA,NA,NA,NA
Amman,Jordan,UMC,2400000,996815,NA,NA,NA,NA,NA,NA,10,NA,NA,90,NA,NA,50,3,1,15,15,16,NA,NA,NA,24,NA,NA,NA,NA
Yokohama,Japan,HIC,3730345,1182892,NA,NA,NA,10.18,74.95,NA,NA,NA,25.543,NA,NA,NA,34.56,1.19,0.76,14.57,25.64,11.88,NA,1.97,9.43,9,NA,12713819,NA,NA
Kobe,Japan,HIC,1547494,559401,NA,NA,NA,14.35,83.3,NA,NA,NA,14.89,NA,NA,NA,36.71,0.27,0.76,10.07,35.18,13.4,1.02,0.84,1.75,12,NA,6789793,NA,NA
Osaka,Japan,HIC,2679962,1021258,NA,NA,NA,14.19,90.33,NA,NA,NA,9.67,NA,NA,NA,10.4,1.8,3.2,12,45.9,19.9,NA,NA,6.8,25,NA,10228509,NA,NA
Naha,Japan,HIC,323558,100375,NA,0,0,3.82,89.09,NA,NA,0,15.01,NA,0,NA,6.3,NA,2.8,1.7,50,31.5,NA,NA,7.7,NA,NA,NA,NA,NA
Kitakyushu,Japan,HIC,972192,409332,NA,NA,NA,11.35,75.93,NA,NA,NA,25.38,NA,NA,NA,49.1,0.6,0.8,14.3,26.4,8.7,NA,NA,NA,NA,NA,NA,NA,NA
Toyama,Japan,HIC,418495,163417,NA,NA,0.44,7.94,76.16,NA,NA,NA,24.28,NA,NA,NA,34.5,0.2,0.5,12.6,35.5,15.1,0.3,1.2,0.1,NA,NA,1774136,NA,NA
Atyrau,Kazakhstan,UMC,275896,100000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,32.5,4.3,2.9,22.5,27.6,8.3,0.7,NA,1.2,5,NA,NA,NA,NA
Kostanay,Kazakhstan,UMC,228000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
EldoretÂ ,Kenya,LMC,167016,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nairobi,Kenya,LMC,3050000,829645,NA,NA,NA,NA,NA,NA,33,NA,5,NA,62,NA,50.9,2,2,11.4,17.5,16.1,NA,NA,NA,NA,NA,NA,NA,NA
Osh,Kyrgyz Republic,LMC,281900,312700,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,64.19,4.67,1.27,7.06,9.2,13.11,0.27,0.22,NA,NA,NA,NA,NA,NA
Bishkek,Kyrgyz Republic,LMC,865000,544700,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,37,1,4,23,27,7,NA,1,NA,10,NA,NA,NA,NA
